0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
4352,4327,4291,4215,3976,3617,3279,2993,2769,2544,2371,2194,2012,1857,1696,1509,1349,0,0,0,0,0,0,0,0,0
4358,4326,4284,4287,4205,3936,3551,3225,2960,2735,2535,2374,2219,2042,1887,1721,1547,1335,0,0,0,0,0,0,0,0
4358,4334,4289,4196,3946,3582,3261,3003,2745,2532,2330,2160,1984,1823,1655,1447,1148,0,0,0,0,0,0,0,0,0
4354,4322,4277,4156,3825,3467,3160,2906,2692,2509,2335,2169,1992,1824,1658,1466,1228,0,0,0,0,0,0,0,0,0
4354,4344,4293,4239,4038,3659,3344,3059,2820,2600,2416,2252,2090,1937,1766,1594,1376,0,0,0,0,0,0,0,0,0
